link,title,date,text
https://finance.detik.com/infografis/d-5660760/7-pejabat-baru-bi,7 Pejabat Baru BI,"Rabu, 28 Jul 2021 23:00 WIB","Perry menyampaikan tiga pesan kepada seluruh peserta kegiatan pelantikan.		 (dna/dna)

"
https://finance.detik.com/moneter/d-5659909/gubernur-bi-lantik-7-kepala-perwakilan-jatim-tokyo-ini-daftarnya,"Gubernur BI Lantik 7 Kepala Perwakilan Jatim-Tokyo, Ini Daftarnya","Rabu, 28 Jul 2021 12:33 WIB","Gubernur Bank Indonesia (BI), Perry Warjiyo melantik 7 pemimpin baru Kantor Perwakilan dalam dan luar negeri. Pelantikan dilakukan pada hari ini (28/7) secara virtual di Jakarta.
Perry menyampaikan tiga pesan kepada seluruh peserta kegiatan pelantikan. Pertama, untuk terus bersyukur dan memaknai setiap momen berharga di dalam kehidupan.
Kedua, berikhtiar maksimal, bersumbangsih nyata, dan senantiasa memberikan yang terbaik bagi lembaga dan negara. Ketiga, terus optimis dan yakin.
""Pelantikan pejabat di BI merupakan bagian dari transformasi organisasi dan sumber daya manusia di BI guna memperkuat efektivitas organisasi dan pelaksanaan tugas di BI,"" katanya dikutip dari keterangan tertulis, Rabu (28/7/2021).
Berikut nama pemimpin baru BI yang dilantik:
1. Budi Hanoto, sebelumnya menjabat Kepala Perwakilan Bank Indonesia Provinsi Sulawesi Selatan, sebagai Kepala Perwakilan Bank Indonesia Provinsi Jawa Timur.2. Causa Iman Karana, sebelumnya menjabat Kepala Perwakilan Bank Indonesia Tokyo, sebagai Kepala Perwakilan Bank Indonesia Provinsi Sulawesi Selatan.3. Hilman Tisnawan, sebelumnya menjabat Kepala Perwakilan Bank Indonesia Provinsi Daerah Istimewa Yogyakarta, sebagai Kepala Perwakilan Bank Indonesia Tokyo.4. Tutuk S.H. Cahyono, sebelumnya menjabat Kepala Perwakilan Bank Indonesia Provinsi Kalimantan Timur, sebagai Kepala Perwakilan Bank Indonesia Beijing.5. Teuku Munandar, sebelumnya menjabat Kepala Tim Kantor Perwakilan Bank Indonesia Provinsi Aceh, sebagai Kepala Perwakilan Bank Indonesia Pematangsiantar.6. Hermanto, sebelumnya menjabat Analis Senior di Departemen Statistik, sebagai Kepala Perwakilan Bank Indonesia Provinsi Sulawesi Barat.7. Tedy Arief Budiman, sebelumnya menjabat Auditor Intern Senior di Departemen Audit Intern, sebagai Kepala Perwakilan Bank Indonesia Provinsi Kalimantan Utara.
"
https://www.detik.com/edu/detikpedia/d-5658895/bi-buka-lowongan-kerja-untuk-s1-s2-simak-ketentuannya,"BI Buka Lowongan Kerja untuk S1-S2, Simak Ketentuannya!","Selasa, 27 Jul 2021 17:10 WIB","Jika detikers tertarik mendaftar, berikut adalah penjelasannya yang dikutip dari laman resmi Rekrutmen BI:
1. Warga Negara Indonesia (WNI).
2. Telah menyelesaikan masa studi jenjang pendidikan Sarjana (S1) / Pasca Sarjana (S2).
3. Lulusan dari bidang studi:
- Statistika
- Matematika
- Teknik Industri
- Teknik Informatika
- Sistem Informasi
- Ilmu Komputer
- Ilmu Ekonomi/Studi Pembangunan
- Ilmu Ekonomi Syariah/Islam
- Manajemen
- Akuntansi
- Keuangan
- Ilmu Hukum
- Ilmu Komunikasi
Untuk lulusan perguruan tinggi dari luar negeri, memiliki bidang studi yang setara dengan bidang studi di atas.
4. Indeks Prestasi Kumulatif (IPK) minimal 3,00 (skala 4,00).
5. Lulusan perguruan tinggi luar negeri yang tidak termasuk dalam Top 50 QS World University Rankings tahun 2021 diwajibkan untuk:
- Memberikan hasil penyetaraan ijazah dari Ditjen Dikti.
- Memberikan hasil penyetaraan transkrip nilai yang diraih dari Ditjen Dikti.
- Menyampaikan bukti hasil penyetaraan Ijazah dan Transkrip nilai pada saat dinyatakan lolos untuk mengikuti Seleksi Tahap Tes Kesehatan dan Psikiatri.
6. Usia per tanggal 24 Juli 2021:
- S1: maksimal 26 tahun.
- S2: maksimal 28 tahun.
7. Diutamakan memiliki pengalaman berorganisasi di kampus dan/atau sosial kemasyarakatan.
8. Menunjukkan potensi leadership, interpersonal skill, communication skill, team work dan kemampuan analisis yang baik, serta dapat diandalkan.
9. Tidak memiliki ikatan dinas atau bersedia mengundurkan diri dan melepaskan ikatan dinas di perusahaan/instansi sebelumnya apabila diterima sebagai calon pegawai Bank Indonesia.
10. Bersedia menandatangani surat perjanjian ikatan dinas dengan Bank Indonesia.
11. Bersedia mematuhi setiap peraturan dan/atau tata tertib yang berlaku di Bank Indonesia, termasuk pengaturan hubungan keluarga di Bank Indonesia.
12. Bersedia ditempatkan di seluruh kantor Bank Indonesia, baik di kantor pusat maupun di kantor perwakilan dengan loyalitas, kemampuan, dan ketahanan tinggi untuk bekerja bagi bangsa dan negara.
Berikut adalah jadwal kegiatan lowongan kerja BI:
1. Pengisian aplikasi online: 24 - 29 Juli 2021.
2. Pengumuman hasil seleksi administrasi: 18 Agustus 2021.
3. Pelaksanaan Tes Potensi Dasar dan person organization fit: 21 - 22 Agustus 2021.
4. Pelaksanaan Tes Pengetahuan Umum, Tes Pengetahuan Kebanksentralan, dan Tes Bahasa Inggris: 4-5 September 2021.
5. Pengumuman Hasil Tes Pengetahuan Umum, Tes Pengetahuan Kebanksentralan, dan Tes Bahasa Inggris: 15 September 2021.
6. Pelaksanaan Tes Psikologi, Leaderless Group Discussion dan Wawancara Psikologi: 18 - 20 September 2021.
7. Pengumuman Hasil Tes Psikologi, Leaderless Group Discussion dan Wawancara Psikologi: 29 September 2021.
8. Pelaksanaan Tes Kesehatan dan Tes Psikiatri: Oktober 2021.
9. Pengumuman Hasil Tes Kesehatan dan Tes Psikiatri: November 2021.
10. Pelaksanaan Wawancara Akhir: November 2021.
11. Pengumuman Hasil Akhir: Desember 2021.
Periode pendaftaran dimulai tanggal 24 - 29 Juli 2021. Info lengkap lowongan kerja BI https://www.detik.com/tag/lowongan-kerja dapat diakses di https://pcpm36.rekrutmenbi.id/. Semoga berhasil detikers!
		Simak Video ""Ngaku Pejabat PT Hino Purwakarta, Dua Orang Ini Tipu Puluhan Calon Tenaga Kerja""
[Gambas:Video 20detik]
(row/row)


lowongan kerja bank indonesia bi loker info loker loker bumn



"
https://finance.detik.com/fintech/d-5657667/tak-sama-ini-bedanya-uang-kriptodan-rupiah-digital,"Tak Sama, Ini Bedanya Uang Kripto dan Rupiah Digital","Senin, 26 Jul 2021 20:30 WIB","Setahun terakhir, mata uang kripto kian populer di Indonesia dan dunia internasional. Berdasarkan data Kementerian Perdagangan (Kemendag), hingga akhir Mei 2021, jumlah investor aset kripto Indonesia mencapai 6,5 juta orang. Jumlah itu naik lebih dari 50 persen dari 2020 lalu yang baru 4 juta orang.
Sementara itu Bank Indonesia kini tengah merumuskan pembuatan mata uang digital Central Bank Digital Currency (CBDC). Nantinya produk ini akan diberi nama digital rupiah. BI menjelaskan Central Bank Digital Currency - Digital Rupiah dalam implementasinya harus disesuaikan kondisi ekonomi dan konteks digitalisasi.
Lalu apa bedanya aset kripto dengan digital rupiah?
Kantor akuntan publik dan konsultan RSM Indonesia, menjelaskan mata uang kripto adalah mata uang digital atau virtual yang dijamin dengan kriptografi, yang membuatnya hampir tidak mungkin untuk dipalsukan (counterfeit) atau digandakan (double-spend).
""Mata uang digital bersifat desentralisasi, tidak butuh bank sentral dan bank dalam transaksi karena transaksinya berlangsung secara peer-to-peer dari pengirim ke penerima,"" ungkap Managing Partner Audit RSM Indonesia Dedy Sukrisnadi dalam keterangan tertulis, Senin (26/7/2021).
Beberapa contoh mata uang kripto antara lain Bitcoin, Litecoin, Peercoin, dan Namecoin, serta Ethereum, Cardano, XRP, dan EOS. Di berbagai negara termasuk Indonesia, mata uang kripto bukan merupakan alat pembayaran yang sah (legal tender).
Menurut Dedy, Central Bank Digital Currency (CBDC) yang nantinya bernama Digital Rupiah yang tengah dirumuskan oleh BI tidak sama dengan mata uang kripto. CBDC adalah uang digital yang diterbitkan dan peredarannya dikontrol oleh bank sentral, dan digunakan sebagai alat pembayaran yang sah untuk menggantikan uang kartal.
Terdapat 3 model CBDC. Pertama, indirect CBDC di mana tagihan (claim) dilakukan ke perantara (bank komersial), sementara bank sentral hanya melakukan pembayaran ke bank komersial. Kedua, direct CBDC di mana tagihan dilakukan langsung ke bank sentral. Serta ketiga, hybrid CBDC di mana tagihan dilakukan ke bank sentral, tetapi bank komersial yang melakukan pembayaran.
""RSM memandang keberadaan cryptocurrency ini perlu untuk terus dicermati terjadinya risiko yang merugikan. Sebagai contoh, populernya penggunaan mata uang kripto ini berisiko terhadap kestabilan moneter apabila masyarakat menggunakannya sebagai private digital currency,"" jelas Dedy.
Risiko lainnya, kata Dedy, terdapat risiko underground economy apabila pemegang/pemilik mata uang kripto tidak mencatatnya sebagai aset yang dimilikinya. Penambahan kekayaan dari peningkatan nilai mata uang kripto yang tidak tercatat dalam laporan keuangan (entitas atau pribadi) pada gilirannya akan berdampak pada kecilnya kewajiban perpajakan mereka.
Mengenai standar akuntansi mata uang kripto, jelas Dedy, IFRS Interpretations Committee (IFRS IC or the Committee) pada Juni 2019 telah menerbitkan paper mengenai bagaimana perusahaan/entitas yang memiliki mata uang kripto menerapkan standar akuntansi yang ada saat ini terhadap mata uang kripto ini.
""Terdapat beberapa standar yang relevan untuk dikaji keterterapannya yakni PSAK 50 (IAS 32) mengenai 'Instrumen Keuangan: Penyajian', PSAK 16 (IAS 38) mengenai 'Aset Tak berwujud', dan PSAK 14 (IAS 2) mengenai persediaan,"" paparnya.
Mata uang kripto memiiki beberapa karakter di antaranya distribusinya dicatat menggunakan kriptografi sebagai jaminannya, tidak diterbitkan oleh otoritas berwenang, serta tidak ada perjanjian atau akad atau pemegang dengan pihak lainnya. Berdasarkan karakteristik tersebut, maka mata uang kripto bukanlah instrumen keuangan karena tidak memenuhi kriteria sebagai aset keuangan.
""Yakni mata uang kripto bukan kas, bukan instrumen ekuitas yang diterbitkan entitas lain, tidak memberikan hak kontraktual kepada pemegang uang kripto, serta bukan suatu kontrak yang akan diselesaikan dengan menggunakan instrumen ekuitas dari entitas tersebut,"" terang Dedy.
Meski begitu, kata dia, secara umum, mata uang kripto memenuhi definisi sebagai aset tak berwujud, yakni merupakan aset non-moneter teridentifikasi tanpa wujud fisik. Mata uang kripto juga dapat dipisahkan dari pemiliknya serta dapat diperjualbelikan atau ditransfer secara individual.
""Karena itu, mata uang kripto paling tepat diakui dan dicatat sebagai aset tak berwujud, kecuali dijual dalam suatu kegiatan usaha biasa,"" tuturnya.
"
https://finance.detik.com/lainnya/d-5654920/sikat-bank-indonesia-buka-lowongan-jalur-pcpm-nih,Sikat! Bank Indonesia Buka Lowongan Jalur PCPM Nih,"Sabtu, 24 Jul 2021 10:00 WIB","Bank Indonesia membuka seleksi penerimaan Pendidikan Calon Pegawai Muda (PCPM) angkatan 36. Dikutip dari Instagram @bank_indonesia disebutkan pendaftaran ini dibuka mulai 24-29 Juli 2021.
""#SobatRupiah, ini saatnya untuk #BeriMakna dalam membangun stabilitas perekonomian negara, dengan bergabung menjadi keluarga besar Bank Indonesia,"" tulis pengumuman tersebut, dikutip Sabtu (27/7/2021).
Berikut syarat umumnya :
Warga Negara IndonesiaTelah dinyatakan lulus dengan strata pendidikan S1/S2Nilai IPK minimal 3.00 dari skala 4.00 dengan program studi Statistika, Matematika, Teknik Industri, Teknik Informatika, Ilmu Komputer, Sistem Informasi, Ilmu Ekonomi/Studi Pembangunan, Ilmu Ekonomi Syariah/Islam, Manajemen, Akuntansi, Keuangan, Ilmu Hukum dan Ilmu Komunikasi.
Bank Indonesia juga mensyaratkan yang diutamakan pendaftar yang aktif berorganisasi. Lalu tidak sedang menjalani ikatan dinas atau bersedia melepas ikatan dinas dengan institusi lain apabila diterima sebagai Calon Pegawai Bank Indonesia.
Selain itu harus bersedia ditempatkan di seluruh wilayah kantor BI. Syarat usia per tanggal 24 Juli 2021 untuk S1 maksimal 26 tahun dan S2 maksimal 28 tahun.
Untuk lebih lengkapnya bisa dilihat di website pendaftaran ya termasuk tata cara online test nya. Bisa klik https://pcpm36.rekrutmenbi.id.
""Bank Indonesia berhak menetapkan kandidat yang memenuhi kualifikasi pada setiap tahapan seleksi,"" tambahnya.
"
https://finance.detik.com/lainnya/d-5654771/pengin-jadi-pejabat-di-bank-indonesia-nih-caranya,Pengin Jadi Pejabat di Bank Indonesia? Nih Caranya,"Sabtu, 24 Jul 2021 08:30 WIB","Bank Indonesia memiliki Pendidikan Calon Pegawai Muda (PCPM) untuk salah satu cara perekrutan pegawai. Nah PCPM ini adalah jalur rekrutmen pegawai yang dipersiapkan untuk menjadi pimpinan di Bank Indonesia.
""Rekrutmen pegawai melalui jalur PCPM tidak dibuka setiap tahun sehingga akan dilakukan sesuai kebutuhan pemenuhan SDM di Bank Indonesia,"" dikutip dari akun Instagram resmi @bank_indonesia, Sabtu (23/7/2021).
Syarat umum untuk bisa ikut rekrutmen PCPM ini adalah pelamar harus memiliki latar belakang pendidikan S1/S2 dari program studi yang dibutuhkan.
Indeks Prestasi Kumulatif (IPK) dan batas usia yang telah ditentukan Bank Indonesia. Serta wajib menyertakan dokumen yang diperlukan seperti KTP, ijazah dan transkrip nilai.
""Dan yang paling penting jangan lupa untuk persiapkan diri, mental dan jaga kesehatan ya! Syarat lebih rinci bisa diketahui pada saat pembukaan rekrutmen PCPM,"" tulisnya.
Memang Bank Indonesia saat ini belum membuka, tapi nanti ketika ada pembukaan rekrutmen PCPM. BI akan mengumumkan melalui media massa nasional maupun kanal komunikasi Bank Indonesia, termasuk media sosial.
Jangan lupa pantau terus media sosial Bank Indonesia di Facebook, Twitter, Instagram, Youtube dan Podcast ya!

"
https://finance.detik.com/bursa-dan-valas/d-5653825/bye-bye-dolar-as-ri-move-on-ke-mata-uang-lain-buat-transaksi-dagang,Bye-bye Dolar AS! RI 'Move On' ke Mata Uang Lain buat Transaksi Dagang,"Jumat, 23 Jul 2021 12:42 WIB","Indonesia saat ini mulai meninggalkan dolar Amerika Serikat (AS) untuk transaksi dagang dengan sejumlah negara. Melalui kerja sama untuk mendorong penggunaan mata uang lokal dalam penyelesaian transaksi perdagangan bilateral dan investasi langsung atau local currency settlement (LCS).
Ada beberapa negara yang digandeng untuk tak lagi menggunakan dolar AS. Jadi transaksi langsung menggunakan rupiah dan mata uang negara tersebut. Contohnya yang paling baru, Gubernur Bank Indonesia (BI) Perry Warjiyo menyebut seluruh syarat teknis operasional LCS antara Indonesia dan China sudah selesai.
Ini artinya, kedua negara dalam bertransaksi dagang tak perlu lagi membeli dolar AS. Jadi bisa menggunakan rupiah dan yuan saja.
""Kami sudah sosialisasi LCS antara China dan Indonesia kepada kementerian/lembaga dan dunia usaha untuk mendukung ekspor dan memanfaatkan peluang ekspor ke China,"" kata dia dalam konferensi pers virtual, dikutip Jumat (23/7/2021).
Sebenarnya tak cuma dengan China, Indonesia bisa meninggalkan dolar AS untuk transaksi perdagangan. Sebelumnya ada beberapa negara yang sudah bersepakat menggunakan mata uang lokalnya:
BI sudah menggandeng kedua bank sentral dari Thailand dan Malaysia untuk kesepakatan LCS ini pada 2017. Perdagangan ini bisa menggunakan ringgit begitupun sebaliknya. Lalu jika perdagangan dengan Thailand bisa langsung menggunakan baht.
Pada September 2020, BI mengumumkan jika Indonesia dan Jepang resmi menggunakan mata uang lokal untuk transaksi perdagangan bilateral dan investasi langsung.
Dengan LCS ini maka kedua negara yang bekerja sama bisa mengurangi ketergantungan terhadap dolar AS. Jadi mudahnya, nggak perlu repot-repot tukar dolar AS dulu kalau mau transaksi perdagangan.
Transaksi LCS mencakup penggunaan kuotasi nilai tukar secara langsung serta perdagangan antar bank untuk mata uang negara tersebut dan rupiah. Selain itu ada juga sharing informasi dan diskusi secara berkala antar otoritas.

Lihat juga Video: Dolar AS 'Perkasa' Tapi Dibungkam Rupiah

[Gambas:Video 20detik]

"
https://finance.detik.com/bursa-dan-valas/d-5652876/tinggal-selangkah-lagi-perdagangan-ri-china-tak-pakai-dolar-as,Tinggal Selangkah Lagi Perdagangan RI-China Tak Pakai Dolar AS,"Kamis, 22 Jul 2021 17:14 WIB","Bank Indonesia (BI) mengungkapkan telah merampungkan seluruh persyaratan maupun teknis operasional antara China dan Indonesia. Indonesia telah sepakat membentuk kerja sama untuk mendorong penggunaan mata uang lokal dalam penyelesaian transaksi perdagangan bilateral dan investasi langsung atau local currency settlement (LCS).
Kesepakatan ini telah diteken pada September tahun lalu. LCS diharapkan bisa memberikan kontribusi positif dalam mendorong penggunaan mata uang lokal untuk penyelesaian perdagangan dan investasi langsung antara kedua negara.
Gubernur BI Perry Warjiyo mengungkapkan bahkan bank sentral sudah menunjuk bank dan mekanisme teknis sudah diselesaikan.
""Kami sudah sosialisasi LCS antara China dan Indonesia dengan kementerian/lembaga dan dunia usaha untuk mendukung ekspor dan memanfaatkan peluang ekspor ke China,"" kata dia dalam konferensi pers, Kamis (22/7/2021).
Perry mengungkapkan operasional atau implementasi ini disatukan dengan program pendalaman pasar keuangan. Dengan demikian, bank-bank yang disepakati dan ditunjuk LCS ini tak hanya memfasilitasi perdagangan dan investasi yuan dan rupiah tapi juga diarahkan untuk diimplementasikan program pendalaman pasar uang.
""Jadi tidak hanya untuk menggunakan transaksi, tapi bagaimana mekanisme ini bisa mendukung valuta asing rupiah-yuan di dalam negeri. Berbagai program pendalaman pasar tidak hanya investasi PMA, bahkan juga disatukan program pendalaman pasar uang sesuai dengan blueprint 2025,"" jelas dia.

Lihat juga video 'Pemalsu Dolar AS di Bekasi Sudah Edarkan Uang Senilai Total Rp 78 M':
 
[Gambas:Video 20detik]

"
https://finance.detik.com/berita-ekonomi-bisnis/d-5652844/gara-gara-varian-delta-bi-pangkas-proyeksi-ekonomi-ri-jadi-35-43,"Gara-gara Varian Delta, BI Pangkas Proyeksi Ekonomi RI Jadi 3,5-4,3%","Kamis, 22 Jul 2021 17:02 WIB","Pertumbuhan ekonomi nasional pada kuartal II-2021 diperkirakan lebih rendah akibat tekanan dari varian delta COVID-19. Gubernur Bank Indonesia (BI) Perry Warjiyo menjelaskan hal ini karena pembatasan mobilitas untuk mengatasi penyebaran virus Corona varian Delta.
Perry menyebutkan penurunan pertumbuhan terutama terjadi pada konsumsi rumah tangga karena terbatasnya mobilitas di tengah peningkatan stimulus bantuan sosial oleh pemerintah, dan tetap kuatnya kinerja ekspor.
""Pada kuartal IV-2021, pertumbuhan ekonomi diprakirakan kembali meningkat didorong oleh peningkatan mobilitas sejalan dengan akselerasi vaksinasi dan penerapan protokol kesehatan, berlanjutnya stimulus kebijakan, dan terus meningkatnya kinerja ekspor,"" kata Perry dalam konferensi pers, Kamis (22/7/2021).
Dia mengungkapkan secara spasial, penurunan pertumbuhan ekonomi tercatat lebih kecil di luar Jawa, khususnya Sulawesi-Maluku-Papua (Sulampua), didukung dengan kinerja ekspor yang kuat. Dengan perkembangan tersebut, BI memprakirakan pertumbuhan ekonomi pada tahun 2021 menjadi 3,5-4,3% dari proyeksi sebelumnya 4,1-5,1%.
Perry menjelaskan pada kuartal II-2021, perbaikan ekonomi terus berlanjut terutama didorong oleh peningkatan kinerja ekspor, belanja fiskal dan investasi non bangunan.
""Perkembangan sejumlah indikator dini pada Juni 2021, seperti penjualan eceran dan PMI, mengindikasikan pemulihan ekonomi domestik yang masih berlangsung,"" jelas Perry.

Simak video '6 Indikator Ini Tunjukkan Ekonomi Indonesia Mulai Pulih':
 
[Gambas:Video 20detik]

Bagaimana dengan ekonomi global? Cek halaman berikutnya.



        Selanjutnya 

Halaman



                1            

                2            





bank indonesia pertumbuhan ekonomi varian delta 


"
https://finance.detik.com/berita-ekonomi-bisnis/d-5652814/beragam-jurus-bi-pulihkan-ekonomi-ri-dari-pandemi-ampuh-nggak-nih,"Beragam Jurus BI Pulihkan EkonomI RI dari Pandemi, Ampuh Nggak Nih?","Kamis, 22 Jul 2021 16:53 WIB","Pandemi COVID-19 membuat perekonomian nasional tertekan. Bank Indonesia (BI) berupaya untuk mendukung perbaikan ekonomi dengan mengoptimalkan bauran kebijakan.
Gubernur BI Perry Warjiyo mengatakan pihaknya melanjutkan kebijakan nilai tukar rupiah untuk menjaga stabilitas nilai tukar yang sejalan dengan fundamental dan mekanisme pasar. Selanjutnya menguatkan strategi operasi moneter untuk memperkuat efektivitas stance kebijakan moneter akomodatif.
""BI juga mendorong intermediasi melalui penguatan kebijakan transparansi suku bunga dasar kredit (SBDK) dengan penekanan pada perkembangan premi risiko dan dampaknya pada penetapan suku bunga kredit baru di berbagai segmen kredit,"" kata Perry dalam konferensi pers virtual, Kamis (22/7/2021).
Dia mengungkapkan BI juga memperkuat ekosistem penyelenggaraan sistem pembayaran melalui implementasi PBI PJP/PIP untuk simplifikasi dan efisiensi perizinan/persetujuan serta mendorong inovasi layanan sistem pembayaran.
Selanjutnya mempercepat dukungan sistem pembayaran yang cepat, mudah, murah, aman, dan andal, untuk penyaluran bantuan sosial (bansos) pemerintah dan mendukung efisiensi transaksi secara online.
Kemudian BI mendukung ekspor melalui perpanjangan batas waktu pengajuan pembebasan Sanksi Penangguhan Ekspor (SPE), dari semula berakhir 29 November 2020 menjadi sampai dengan 31 Desember 2022, untuk memanfaatkan momentum peningkatan permintaan negara mitra dagang dan kenaikan harga komoditas dunia.
Selain itu BI juga memfasilitasi penyelenggaraan promosi perdagangan dan investasi serta melanjutkan sosialisasi penggunaan Local Currency Settlement(LCS) bekerja sama dengan instansi terkait. Pada Juli dan Agustus 2021 akan diselenggarakan promosi investasi dan perdagangan di Jepang, Amerika Serikat, Swedia, dan Singapura.
BI terus memperkuat sinergi kebijakan dengan Komite Stabilitas Sistem Keuangan (KSSK) untuk implementasi lebih lanjut paket kebijakan terpadu KSSK dalam rangka menjaga stabilitas sistem keuangan dan meningkatkan kredit/pembiayaan kepada dunia usaha pada sektor-sektor prioritas, termasuk UMKM.
""Bank Indonesia juga meningkatkan koordinasi kebijakan dengan Pemerintah dan instansi terkait untuk mendorong pertumbuhan ekonomi, termasuk koordinasi kebijakan moneter - fiskal, kebijakan untuk mendorong ekspor, serta inklusi ekonomi dan keuangan,"" ujar dia.

Lihat juga video '6 Indikator Ini Tunjukkan Ekonomi Indonesia Mulai Pulih':
 
[Gambas:Video 20detik]

"
