link,title,date,text,time
https://finance.detik.com/infografis/d-5660760/7-pejabat-baru-bi,7 Pejabat Baru BI,7/28/2021,perry menyampaikan tiga pesan kepada seluruh peserta kegiatan pelantikan dnadna,23:00
https://finance.detik.com/moneter/d-5659909/gubernur-bi-lantik-7-kepala-perwakilan-jatim-tokyo-ini-daftarnya,"Gubernur BI Lantik 7 Kepala Perwakilan Jatim-Tokyo, Ini Daftarnya",7/28/2021,gubernur bank indonesia bi perry warjiyo melantik pemimpin baru kantor perwakilan dalam dan luar negeri pelantikan dilakukan pada hari ini secara virtual di jakarta perry menyampaikan tiga pesan kepada seluruh peserta kegiatan pelantikan pertama untuk terus bersyukur dan memaknai setiap momen berharga di dalam kehidupan kedua berikhtiar maksimal bersumbangsih nyata dan senantiasa memberikan yang terbaik bagi lembaga dan negara ketiga terus optimis dan yakin pelantikan pejabat di bi merupakan bagian dari transformasi organisasi dan sumber daya manusia di bi guna memperkuat efektivitas organisasi dan pelaksanaan tugas di bi katanya dikutip dari keterangan tertulis rabu berikut nama pemimpin baru bi yang dilantik budi hanoto sebelumnya menjabat kepala perwakilan bank indonesia provinsi sulawesi selatan sebagai kepala perwakilan bank indonesia provinsi jawa timur causa iman karana sebelumnya menjabat kepala perwakilan bank indonesia tokyo sebagai kepala perwakilan bank indonesia provinsi sulawesi selatan hilman tisnawan sebelumnya menjabat kepala perwakilan bank indonesia provinsi daerah istimewa yogyakarta sebagai kepala perwakilan bank indonesia tokyo tutuk sh cahyono sebelumnya menjabat kepala perwakilan bank indonesia provinsi kalimantan timur sebagai kepala perwakilan bank indonesia beijing teuku munandar sebelumnya menjabat kepala tim kantor perwakilan bank indonesia provinsi aceh sebagai kepala perwakilan bank indonesia pematangsiantar hermanto sebelumnya menjabat analis senior di departemen statistik sebagai kepala perwakilan bank indonesia provinsi sulawesi barat tedy arief budiman sebelumnya menjabat auditor intern senior di departemen audit intern sebagai kepala perwakilan bank indonesia provinsi kalimantan utara,12:33
https://www.detik.com/edu/detikpedia/d-5658895/bi-buka-lowongan-kerja-untuk-s1-s2-simak-ketentuannya,"BI Buka Lowongan Kerja untuk S1-S2, Simak Ketentuannya!",7/27/2021,jika detikers tertarik mendaftar berikut adalah penjelasannya yang dikutip dari laman resmi rekrutmen bi warga negara indonesia wni telah menyelesaikan masa studi jenjang pendidikan sarjana s pasca sarjana s lulusan dari bidang studi statistika matematika teknik industri teknik informatika sistem informasi ilmu komputer ilmu ekonomistudi pembangunan ilmu ekonomi syariahislam manajemen akuntansi keuangan ilmu hukum ilmu komunikasi untuk lulusan perguruan tinggi dari luar negeri memiliki bidang studi yang setara dengan bidang studi di atas indeks prestasi kumulatif ipk minimal skala lulusan perguruan tinggi luar negeri yang tidak termasuk dalam top qs world university rankings tahun diwajibkan untuk memberikan hasil penyetaraan ijazah dari ditjen dikti memberikan hasil penyetaraan transkrip nilai yang diraih dari ditjen dikti menyampaikan bukti hasil penyetaraan ijazah dan transkrip nilai pada saat dinyatakan lolos untuk mengikuti seleksi tahap tes kesehatan dan psikiatri usia per tanggal juli s maksimal tahun s maksimal tahun diutamakan memiliki pengalaman berorganisasi di kampus danatau sosial kemasyarakatan menunjukkan potensi leadership interpersonal skill communication skill team work dan kemampuan analisis yang baik serta dapat diandalkan tidak memiliki ikatan dinas atau bersedia mengundurkan diri dan melepaskan ikatan dinas di perusahaaninstansi sebelumnya apabila diterima sebagai calon pegawai bank indonesia bersedia menandatangani surat perjanjian ikatan dinas dengan bank indonesia bersedia mematuhi setiap peraturan danatau tata tertib yang berlaku di bank indonesia termasuk pengaturan hubungan keluarga di bank indonesia bersedia ditempatkan di seluruh kantor bank indonesia baik di kantor pusat maupun di kantor perwakilan dengan loyalitas kemampuan dan ketahanan tinggi untuk bekerja bagi bangsa dan negara berikut adalah jadwal kegiatan lowongan kerja bi pengisian aplikasi online juli pengumuman hasil seleksi administrasi agustus pelaksanaan tes potensi dasar dan person organization fit agustus pelaksanaan tes pengetahuan umum tes pengetahuan kebanksentralan dan tes bahasa inggris september pengumuman hasil tes pengetahuan umum tes pengetahuan kebanksentralan dan tes bahasa inggris september pelaksanaan tes psikologi leaderless group discussion dan wawancara psikologi september pengumuman hasil tes psikologi leaderless group discussion dan wawancara psikologi september pelaksanaan tes kesehatan dan tes psikiatri oktober pengumuman hasil tes kesehatan dan tes psikiatri november pelaksanaan wawancara akhir november pengumuman hasil akhir desember periode pendaftaran dimulai tanggal juli info lengkap lowongan kerja bi httpswwwdetikcomtaglowongankerja dapat diakses di httpspcpmrekrutmenbiid semoga berhasil detikers simak video ngaku pejabat pt hino purwakarta dua orang ini tipu puluhan calon tenaga kerja gambasvideo detik rowrow lowongan kerja bank indonesia bi loker info loker loker bumn,17:10
https://finance.detik.com/fintech/d-5657667/tak-sama-ini-bedanya-uang-kriptodan-rupiah-digital,"Tak Sama, Ini Bedanya Uang Kripto dan Rupiah Digital",7/26/2021,setahun terakhir mata uang kripto kian populer di indonesia dan dunia internasional berdasarkan data kementerian perdagangan kemendag hingga akhir may jumlah investor aset kripto indonesia mencapai juta orang jumlah itu naik lebih dari persen dari lalu yang baru juta orang sementara itu bank indonesia kini tengah merumuskan pembuatan mata uang digital central bank digital currency cbdc nantinya produk ini akan diberi nama digital rupiah bi menjelaskan central bank digital currency digital rupiah dalam implementasinya harus disesuaikan kondisi ekonomi dan konteks digitalisasi lalu apa bedanya aset kripto dengan digital rupiah kantor akuntan publik dan konsultan rsm indonesia menjelaskan mata uang kripto adalah mata uang digital atau virtual yang dijamin dengan kriptografi yang membuatnya hampir tidak mungkin untuk dipalsukan counterfeit atau digandakan doublespend mata uang digital bersifat desentralisasi tidak butuh bank sentral dan bank dalam transaksi karena transaksinya berlangsung secara peertopeer dari pengirim ke penerima ungkap managing partner audit rsm indonesia dedy sukrisnadi dalam keterangan tertulis senin beberapa contoh mata uang kripto antara lain bitcoin litecoin peercoin dan namecoin serta ethereum cardano xrp dan eos di berbagai negara termasuk indonesia mata uang kripto bukan merupakan alat pembayaran yang sah legal tender menurut dedy central bank digital currency cbdc yang nantinya bernama digital rupiah yang tengah dirumuskan oleh bi tidak sama dengan mata uang kripto cbdc adalah uang digital yang diterbitkan dan peredarannya dikontrol oleh bank sentral dan digunakan sebagai alat pembayaran yang sah untuk menggantikan uang kartal terdapat model cbdc pertama indirect cbdc di mana tagihan claim dilakukan ke perantara bank komersial sementara bank sentral hanya melakukan pembayaran ke bank komersial kedua direct cbdc di mana tagihan dilakukan langsung ke bank sentral serta ketiga hybrid cbdc di mana tagihan dilakukan ke bank sentral tetapi bank komersial yang melakukan pembayaran rsm memandang keberadaan cryptocurrency ini perlu untuk terus dicermati terjadinya risiko yang merugikan sebagai contoh populernya penggunaan mata uang kripto ini berisiko terhadap kestabilan moneter apabila masyarakat menggunakannya sebagai private digital currency jelas dedy risiko lainnya kata dedy terdapat risiko underground economy apabila pemegangpemilik mata uang kripto tidak mencatatnya sebagai aset yang dimilikinya penambahan kekayaan dari peningkatan nilai mata uang kripto yang tidak tercatat dalam laporan keuangan entitas atau pribadi pada gilirannya akan berdampak pada kecilnya kewajiban perpajakan mereka mengenai standar akuntansi mata uang kripto jelas dedy ifrs interpretations committee ifrs ic or the committee pada juni telah menerbitkan paper mengenai bagaimana perusahaanentitas yang memiliki mata uang kripto menerapkan standar akuntansi yang ada saat ini terhadap mata uang kripto ini terdapat beberapa standar yang relevan untuk dikaji keterterapannya yakni psak ias mengenai instrumen keuangan penyajian psak ias mengenai aset tak berwujud dan psak ias mengenai persediaan paparnya mata uang kripto memiiki beberapa karakter di antaranya distribusinya dicatat menggunakan kriptografi sebagai jaminannya tidak diterbitkan oleh otoritas berwenang serta tidak ada perjanjian atau akad atau pemegang dengan pihak lainnya berdasarkan karakteristik tersebut maka mata uang kripto bukanlah instrumen keuangan karena tidak memenuhi kriteria sebagai aset keuangan yakni mata uang kripto bukan kas bukan instrumen ekuitas yang diterbitkan entitas lain tidak memberikan hak kontraktual kepada pemegang uang kripto serta bukan suatu kontrak yang akan diselesaikan dengan menggunakan instrumen ekuitas dari entitas tersebut terang dedy meski begitu kata dia secara umum mata uang kripto memenuhi definisi sebagai aset tak berwujud yakni merupakan aset nonmoneter teridentifikasi tanpa wujud fisik mata uang kripto juga dapat dipisahkan dari pemiliknya serta dapat diperjualbelikan atau ditransfer secara individual karena itu mata uang kripto paling tepat diakui dan dicatat sebagai aset tak berwujud kecuali dijual dalam suatu kegiatan usaha biasa tuturnya,20:30
https://finance.detik.com/lainnya/d-5654920/sikat-bank-indonesia-buka-lowongan-jalur-pcpm-nih,Sikat! Bank Indonesia Buka Lowongan Jalur PCPM Nih,7/24/2021,bank indonesia membuka seleksi penerimaan pendidikan calon pegawai muda pcpm angkatan dikutip dari instagram bankindonesia disebutkan pendaftaran ini dibuka mulai juli sobatrupiah ini saatnya untuk berimakna dalam membangun stabilitas perekonomian negara dengan bergabung menjadi keluarga besar bank indonesia tulis pengumuman tersebut dikutip sabtu berikut syarat umumnya warga negara indonesiatelah dinyatakan lulus dengan strata pendidikan ssnilai ipk minimal dari skala dengan program studi statistika matematika teknik industri teknik informatika ilmu komputer sistem informasi ilmu ekonomistudi pembangunan ilmu ekonomi syariahislam manajemen akuntansi keuangan ilmu hukum dan ilmu komunikasi bank indonesia juga mensyaratkan yang diutamakan pendaftar yang aktif berorganisasi lalu tidak sedang menjalani ikatan dinas atau bersedia melepas ikatan dinas dengan institusi lain apabila diterima sebagai calon pegawai bank indonesia selain itu harus bersedia ditempatkan di seluruh wilayah kantor bi syarat usia per tanggal juli untuk s maksimal tahun dan s maksimal tahun untuk lebih lengkapnya bisa dilihat di website pendaftaran ya termasuk tata cara online test nya bisa klik httpspcpmrekrutmenbiid bank indonesia berhak menetapkan kandidat yang memenuhi kualifikasi pada setiap tahapan seleksi tambahnya,10:00
https://finance.detik.com/lainnya/d-5654771/pengin-jadi-pejabat-di-bank-indonesia-nih-caranya,Pengin Jadi Pejabat di Bank Indonesia? Nih Caranya,7/24/202,bank indonesia memiliki pendidikan calon pegawai muda pcpm untuk salah satu cara perekrutan pegawai nah pcpm ini adalah jalur rekrutmen pegawai yang dipersiapkan untuk menjadi pimpinan di bank indonesia rekrutmen pegawai melalui jalur pcpm tidak dibuka setiap tahun sehingga akan dilakukan sesuai kebutuhan pemenuhan sdm di bank indonesia dikutip dari akun instagram resmi bankindonesia sabtu syarat umum untuk bisa ikut rekrutmen pcpm ini adalah pelamar harus memiliki latar belakang pendidikan ss dari program studi yang dibutuhkan indeks prestasi kumulatif ipk dan batas usia yang telah ditentukan bank indonesia serta wajib menyertakan dokumen yang diperlukan seperti ktp ijazah dan transkrip nilai dan yang paling penting jangan lupa untuk persiapkan diri mental dan jaga kesehatan ya syarat lebih rinci bisa diketahui pada saat pembukaan rekrutmen pcpm tulisnya memang bank indonesia saat ini belum membuka tapi nanti ketika ada pembukaan rekrutmen pcpm bi akan mengumumkan melalui media massa nasional maupun kanal komunikasi bank indonesia termasuk media sosial jangan lupa pantau terus media sosial bank indonesia di facebook twitter instagram youtube dan podcast ya, 8:30
https://finance.detik.com/bursa-dan-valas/d-5653825/bye-bye-dolar-as-ri-move-on-ke-mata-uang-lain-buat-transaksi-dagang,Bye-bye Dolar AS! RI 'Move On' ke Mata Uang Lain buat Transaksi Dagang,7/23/2021,indonesia saat ini mulai meninggalkan dolar amerika serikat as untuk transaksi dagang dengan sejumlah negara melalui kerja sama untuk mendorong penggunaan mata uang lokal dalam penyelesaian transaksi perdagangan bilateral dan investasi langsung atau local currency settlement lcs ada beberapa negara yang digandeng untuk tak lagi menggunakan dolar as jadi transaksi langsung menggunakan rupiah dan mata uang negara tersebut contohnya yang paling baru gubernur bank indonesia bi perry warjiyo menyebut seluruh syarat teknis operasional lcs antara indonesia dan china sudah selesai ini artinya kedua negara dalam bertransaksi dagang tak perlu lagi membeli dolar as jadi bisa menggunakan rupiah dan yuan saja kami sudah sosialisasi lcs antara china dan indonesia kepada kementerianlembaga dan dunia usaha untuk mendukung ekspor dan memanfaatkan peluang ekspor ke china kata dia dalam konferensi pers virtual dikutip jumat sebenarnya tak cuma dengan china indonesia bisa meninggalkan dolar as untuk transaksi perdagangan sebelumnya ada beberapa negara yang sudah bersepakat menggunakan mata uang lokalnya bi sudah menggandeng kedua bank sentral dari thailand dan malaysia untuk kesepakatan lcs ini pada perdagangan ini bisa menggunakan ringgit begitupun sebaliknya lalu jika perdagangan dengan thailand bisa langsung menggunakan baht pada september bi mengumumkan jika indonesia dan jepang resmi menggunakan mata uang lokal untuk transaksi perdagangan bilateral dan investasi langsung dengan lcs ini maka kedua negara yang bekerja sama bisa mengurangi ketergantungan terhadap dolar as jadi mudahnya nggak perlu repotrepot tukar dolar as dulu kalau mau transaksi perdagangan transaksi lcs mencakup penggunaan kuotasi nilai tukar secara langsung serta perdagangan antar bank untuk mata uang negara tersebut dan rupiah selain itu ada juga sharing informasi dan diskusi secara berkala antar otoritas lihat juga video dolar as perkasa tapi dibungkam rupiah gambasvideo detik,12:42
https://finance.detik.com/bursa-dan-valas/d-5652876/tinggal-selangkah-lagi-perdagangan-ri-china-tak-pakai-dolar-as,Tinggal Selangkah Lagi Perdagangan RI-China Tak Pakai Dolar AS,7/22/2021,bank indonesia bi mengungkapkan telah merampungkan seluruh persyaratan maupun teknis operasional antara china dan indonesia indonesia telah sepakat membentuk kerja sama untuk mendorong penggunaan mata uang lokal dalam penyelesaian transaksi perdagangan bilateral dan investasi langsung atau local currency settlement lcs kesepakatan ini telah diteken pada september tahun lalu lcs diharapkan bisa memberikan kontribusi positif dalam mendorong penggunaan mata uang lokal untuk penyelesaian perdagangan dan investasi langsung antara kedua negara gubernur bi perry warjiyo mengungkapkan bahkan bank sentral sudah menunjuk bank dan mekanisme teknis sudah diselesaikan kami sudah sosialisasi lcs antara china dan indonesia dengan kementerianlembaga dan dunia usaha untuk mendukung ekspor dan memanfaatkan peluang ekspor ke china kata dia dalam konferensi pers kamis perry mengungkapkan operasional atau implementasi ini disatukan dengan program pendalaman pasar keuangan dengan demikian bankbank yang disepakati dan ditunjuk lcs ini tak hanya memfasilitasi perdagangan dan investasi yuan dan rupiah tapi juga diarahkan untuk diimplementasikan program pendalaman pasar uang jadi tidak hanya untuk menggunakan transaksi tapi bagaimana mekanisme ini bisa mendukung valuta asing rupiahyuan di dalam negeri berbagai program pendalaman pasar tidak hanya investasi pma bahkan juga disatukan program pendalaman pasar uang sesuai dengan blueprint jelas dia lihat juga video pemalsu dolar as di bekasi sudah edarkan uang senilai total rp m gambasvideo detik,17:14
https://finance.detik.com/berita-ekonomi-bisnis/d-5652844/gara-gara-varian-delta-bi-pangkas-proyeksi-ekonomi-ri-jadi-35-43,"Gara-gara Varian Delta, BI Pangkas Proyeksi Ekonomi RI Jadi 3,5-4,3%",7/22/2021,pertumbuhan ekonomi nasional pada kuartal ii diperkirakan lebih rendah akibat tekanan dari varian delta covid gubernur bank indonesia bi perry warjiyo menjelaskan hal ini karena pembatasan mobilitas untuk mengatasi penyebaran virus corona varian delta perry menyebutkan penurunan pertumbuhan terutama terjadi pada konsumsi rumah tangga karena terbatasnya mobilitas di tengah peningkatan stimulus bantuan sosial oleh pemerintah dan tetap kuatnya kinerja ekspor pada kuartal iv pertumbuhan ekonomi diprakirakan kembali meningkat didorong oleh peningkatan mobilitas sejalan dengan akselerasi vaksinasi dan penerapan protokol kesehatan berlanjutnya stimulus kebijakan dan terus meningkatnya kinerja ekspor kata perry dalam konferensi pers kamis dia mengungkapkan secara spasial penurunan pertumbuhan ekonomi tercatat lebih kecil di luar jawa khususnya sulawesimalukupapua sulampua didukung dengan kinerja ekspor yang kuat dengan perkembangan tersebut bi memprakirakan pertumbuhan ekonomi pada tahun menjadi dari proyeksi sebelumnya perry menjelaskan pada kuartal ii perbaikan ekonomi terus berlanjut terutama didorong oleh peningkatan kinerja ekspor belanja fiskal dan investasi non bangunan perkembangan sejumlah indikator dini pada juni seperti penjualan eceran dan pmi mengindikasikan pemulihan ekonomi domestik yang masih berlangsung jelas perry simak video indikator ini tunjukkan ekonomi indonesia mulai pulih gambasvideo detik bagaimana dengan ekonomi global cek halaman berikutnya selanjutnya halaman bank indonesia pertumbuhan ekonomi varian delta,17:02
https://finance.detik.com/berita-ekonomi-bisnis/d-5652814/beragam-jurus-bi-pulihkan-ekonomi-ri-dari-pandemi-ampuh-nggak-nih,"Beragam Jurus BI Pulihkan EkonomI RI dari Pandemi, Ampuh Nggak Nih?",7/22/2021,pandemi covid membuat perekonomian nasional tertekan bank indonesia bi berupaya untuk mendukung perbaikan ekonomi dengan mengoptimalkan bauran kebijakan gubernur bi perry warjiyo mengatakan pihaknya melanjutkan kebijakan nilai tukar rupiah untuk menjaga stabilitas nilai tukar yang sejalan dengan fundamental dan mekanisme pasar selanjutnya menguatkan strategi operasi moneter untuk memperkuat efektivitas stance kebijakan moneter akomodatif bi juga mendorong intermediasi melalui penguatan kebijakan transparansi suku bunga dasar kredit sbdk dengan penekanan pada perkembangan premi risiko dan dampaknya pada penetapan suku bunga kredit baru di berbagai segmen kredit kata perry dalam konferensi pers virtual kamis dia mengungkapkan bi juga memperkuat ekosistem penyelenggaraan sistem pembayaran melalui implementasi pbi pjppip untuk simplifikasi dan efisiensi perizinanpersetujuan serta mendorong inovasi layanan sistem pembayaran selanjutnya mempercepat dukungan sistem pembayaran yang cepat mudah murah aman dan andal untuk penyaluran bantuan sosial bansos pemerintah dan mendukung efisiensi transaksi secara online kemudian bi mendukung ekspor melalui perpanjangan batas waktu pengajuan pembebasan sanksi penangguhan ekspor spe dari semula berakhir november menjadi sampai dengan desember untuk memanfaatkan momentum peningkatan permintaan negara mitra dagang dan kenaikan harga komoditas dunia selain itu bi juga memfasilitasi penyelenggaraan promosi perdagangan dan investasi serta melanjutkan sosialisasi penggunaan local currency settlementlcs bekerja sama dengan instansi terkait pada juli dan agustus akan diselenggarakan promosi investasi dan perdagangan di jepang amerika serikat swedia dan singapura bi terus memperkuat sinergi kebijakan dengan komite stabilitas sistem keuangan kssk untuk implementasi lebih lanjut paket kebijakan terpadu kssk dalam rangka menjaga stabilitas sistem keuangan dan meningkatkan kreditpembiayaan kepada dunia usaha pada sektorsektor prioritas termasuk umkm bank indonesia juga meningkatkan koordinasi kebijakan dengan pemerintah dan instansi terkait untuk mendorong pertumbuhan ekonomi termasuk koordinasi kebijakan moneter fiskal kebijakan untuk mendorong ekspor serta inklusi ekonomi dan keuangan ujar dia lihat juga video indikator ini tunjukkan ekonomi indonesia mulai pulih gambasvideo detik,16:53
